번호,면적,시도명,시군구명,용도,장소명,주소,최대수용인원,경도,위도,정좌표경도,정좌표위도,구분
9644,1144000000,서울특별시,마포구,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",대흥동 자치회관,서울특별시 마포구 신촌로26길 10(노고산동),37,126.94264,37.55599,194931.3791,550719.9669,안전
9647,1144000000,서울특별시,마포구,관공서,서강동주민센터,서울특별시 마포구 독막로 165(창전동),29,126.9321,37.54773,193999.3873,549803.2802,안전
9646,1144000000,서울특별시,마포구,관공서,신수동주민센터,서울특별시 마포구 독막로 192(신수동),143,126.93521,37.54708,194274.0922,549730.7943,안전
9613,1144000000,서울특별시,마포구,관공서,연남동주민센터,서울특별시 마포구 성미산로29길 17-9 (연남동),105,126.92321,37.56412,193215.6198,551622.983,긴급
9648,1144000000,서울특별시,마포구,학교,서강초등학교,서울특별시 마포구 독막로 113(상수동),290,126.92739,37.54839,193583.8925,549877.0082,안전
9650,1144000000,서울특별시,마포구,학교,서교초등학교,서울특별시 마포구 와우산로23길 20-27 (서교동),375,126.92498,37.55486,193371.1289,550595.9164,안전
9612,1144000000,서울특별시,마포구,학교,경성고등학교,서울특별시 마포구 성미산로 111(연남동),939,126.91915,37.56345,192856.8229,551549.904,긴급
9637,1144000000,서울특별시,마포구,학교,염리초등학교,서울특별시 마포구 토정로37길 37(염리동),39,126.94589,37.54243,195217.5701,549214.4368,긴급
9605,1144000000,서울특별시,마포구,학교,성산초등학교,서울특별시 마포구 양화로3길 94(합정동),243,126.91108,37.55333,192143.0458,550427.2797,긴급
9610,1144000000,서울특별시,마포구,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",마포구민체육센터,서울특별시 마포구 월드컵로25길 190(망원동),500,126.89664,37.55639,190866.8684,550767.2944,긴급
9649,1144000000,서울특별시,마포구,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",서강동자치회관,서울특별시 마포구 토정로 148-14 (상수동),58,126.92697,37.54506,193546.3859,549507.8667,긴급
9651,1144000000,서울특별시,마포구,관공서,서교동주민센터,서울특별시 마포구 동교로15길 7(서교동),162,126.9146,37.55559,192453.8911,550677.0212,긴급
9640,1144000000,서울특별시,마포구,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",염리생활체육관,서울특별시 마포구 큰우물로 61(염리동),25,126.94759,37.54182,195368.2962,549146.358,긴급
9645,1144000000,서울특별시,마포구,학교,신석초등학교,서울특별시 마포구 대흥로 33(신수동),266,126.93365,37.54608,194136.1904,549619.9291,긴급
9783,1144000000,서울특별시,마포구,기타시설,마포대진유치원,서울특별시 마포구 성미산로 110(연남동),310,126.91939,37.56188,192877.8755,551375.3057,긴급
